animal, ,"('first let get all the animal around the table okay', 'Investigator')","[0, 'first let get all the animal around the table okay']",table,37.1650341896137,male,Clark
animal, ,"('okay but first you have_to decide where you want all the animal to be around the table and then you hafta put them there', 'Investigator')","[0, 'okay but first you have_to decide where you want all the animal to be around the table and then you hafta put them there']",table,37.1650341896137,male,Clark
animal, ,"('oh I say you hafta put all these animal up next_to the table', 'Investigator')","[0, 'oh I say you hafta put all these animal up next_to the table']",table,37.1650341896137,male,Clark
animal, ,"('animal can smell thing that you can smell sometimes they can tell where man and other animal be watch a dog sniff in the wind', 'Investigator')","[0, 'animal can smell thing that you can smell sometimes they can tell where man and other animal be watch a dog sniff in the wind']",dog,38.0664900716647,male,Clark
clothes, ,"('the king be in his count house count out his money the queen be in the parlor eat bread and honey the maid be in the garden hang out the clothes there come a little and snip off her nose', 'Investigator')","[0, 'the king be in his count house count out his money the queen be in the parlor eat bread and honey the maid be in the garden hang out the clothes there come a little and snip off her nose']",bread,36.1650136553112,male,Clark
food, ,"('why do she have food on her hat', 'Investigator')","[0, 'why do she have food on her hat']",hat,36.1650136553112,male,Clark
clothes, ,"('the cow do have his clothes on', 'Adult')","[0, 'the cow do have his clothes on']",cow,45.0009240436149,male,VanKleeck
food, ,"('that a stove that not the food', 'Adult')","[0, 'that a stove that not the food']",stove,47.00096511222,male,VanKleeck
food, ,"('do a duck drop his food out like that', 'Mother')","[0, 'do a duck drop his food out like that']",duck,37.2964537259492,male,Brown
animal, ,"('it might hurt the animal because the tractor so big', 'Mother')","[0, 'it might hurt the animal because the tractor so big']",tractor,44.8551304954927,male,Brown
food, ,"('what about some dog food', 'Investigator')","[0, 'what about some dog food']",dog,38.6907328692581,male,Brown
food, ,"('oh the duck be go to cook the food with his mouth', 'Mother')","[0, 'oh the duck be go to cook the food with his mouth']",duck,39.5921887513091,male,Brown
toy, ,"('a toy car', 'Investigator')","[0, 'a toy car']",car,39.132220374135,male,Brown
toy, ,"('well yes a ball be a toy', 'Mother')","[0, 'well yes a ball be a toy']",ball,45.5266021889567,male,Brown
animal, ,"('can you tell me a story about the animal', 'Investigator')","[0, 'can you tell me a story about the animal']",story,37.5592927986201,female,Brown
clothes, ,"('every time I dress her you take her clothes off', 'Mother')","[0, 'every time I dress her you take her clothes off']",dress,37.3293086100331,female,Brown
clothes, ,"('that the one with all the doll clothes', 'Mother')","[0, 'that the one with all the doll clothes']",doll,40.5264995174439,female,Brown
toy, ,"('do forget you gonna have_to pack your suitcase you know get all your toy together and all your book', 'Mother')","[0, 'do forget you gonna have_to pack your suitcase you know get all your toy together and all your book']",book,47.2966590689747,female,Brown
food, ,"('Kennel Ration dog food', 'Mother')","[0, 'Kennel Ration dog food']",dog,47.5266432575618,female,Brown
clothes, ,"('cause it will get our clothes all wet and also it will get the inside of uncle Craig car all wet too', 'Father')","[0, 'cause it will get our clothes all wet and also it will get the inside of uncle Craig car all wet too']",car,47.8880469824842,male,Demetras1
food, ,"('in horse food', 'Father')","[0, 'in horse food']",horse,46.7566069118462,male,Demetras1
animal, ,"('okay I think I can make up a animal game', 'Father')","[0, 'okay I think I can make up a animal game']",game,37.0336146532783,male,Kuczaj
animal, ,"('you tell me about each animal in this book okay', 'Father')","[0, 'you tell me about each animal in this book okay']",book,37.2635988418653,male,Kuczaj
animal, ,"('a animal book', 'Father')","[0, 'a animal book']",book,38.230764492084,male,Kuczaj
toy, ,"('they just toy duck huh', 'Father')","[0, 'they just toy duck huh']",duck,42.7236698905522,male,Kuczaj
toy, ,"('there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck', 'Mother')","[0, 'there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck']",duck,44.8222756114089,female,HSLLD
toy, ,"('there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck', 'Mother')","[0, 'there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck']",elephant,44.8222756114089,female,HSLLD
toy, ,"('there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck', 'Mother')","[0, 'there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck']",coat,44.8222756114089,female,HSLLD
toy, ,"('there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck', 'Mother')","[0, 'there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck']",hat,44.8222756114089,female,HSLLD
toy, ,"('there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck', 'Mother')","[0, 'there be hat and coat and jacket and galoshes and glove and his old stuff toy elephant but no rubber duck']",jacket,44.8222756114089,female,HSLLD
toy, ,"('look at this he have get roll skate he have get toy he have get bird seed he have get marble nothing red', 'Mother')","[0, 'look at this he have get roll skate he have get toy he have get bird seed he have get marble nothing red']",bird,43.7565453089386,female,HSLLD
toy, ,"('we need you to finish the book and then we have a toy play we need to do', 'Investigator')","[0, 'we need you to finish the book and then we have a toy play we need to do']",book,44.1323230456478,female,HSLLD
toy, ,"('and a little toy house and a young mouse', 'Mother')","[0, 'and a little toy house and a young mouse']",mouse,45.7894412616275,female,HSLLD
animal, ,"('we have block crayon paint paper doll stuff animal', 'Mother')","[0, 'we have block crayon paint paper doll stuff animal']",block,46.7894617959301,female,HSLLD
animal, ,"('we have block crayon paint paper doll stuff animal', 'Mother')","[0, 'we have block crayon paint paper doll stuff animal']",crayon,46.7894617959301,female,HSLLD
animal, ,"('we have block crayon paint paper doll stuff animal', 'Mother')","[0, 'we have block crayon paint paper doll stuff animal']",doll,46.7894617959301,female,HSLLD
toy, ,"('she make her bed she put her toy away', 'Mother')","[0, 'she make her bed she put her toy away']",bed,45.3294728844535,female,HSLLD
toy, ,"('what that ask Ernie point to a window fill with toy and book', 'Mother')","[0, 'what that ask Ernie point to a window fill with toy and book']",window,46.7894617959301,female,HSLLD
toy, ,"('what that ask Ernie point to a window fill with toy and book', 'Mother')","[0, 'what that ask Ernie point to a window fill with toy and book']",book,46.7894617959301,female,HSLLD
animal, ,"('squirrel skunk rabbit and other animal run past', 'Mother')","[0, 'squirrel skunk rabbit and other animal run past']",squirrel,46.4609129550915,female,HSLLD
toy, ,"('she make her bed she put her toy away', 'Mother')","[0, 'she make her bed she put her toy away']",bed,45.3294728844535,female,HSLLD
toy, ,"('a toy boat', 'Mother')","[0, 'a toy boat']",boat,47.5594981416456,female,HSLLD
food, ,"('drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food', 'Mother')","[0, 'drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food']",drink,43.0337378590936,female,HSLLD
food, ,"('drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food', 'Mother')","[0, 'drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food']",juice,43.0337378590936,female,HSLLD
food, ,"('drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food', 'Mother')","[0, 'drink his orange juice and be through his monster berry crunch when sudden he stop eat and put down his food']",orange,43.0337378590936,female,HSLLD
toy, ,"('Peanut you can look at toy and a book too', 'Mother')","[0, 'Peanut you can look at toy and a book too']",book,45.4937473048728,female,HSLLD
toy, ,"('we let you play with the toy pretty soon but we gotta have you read the book first', 'Investigator')","[0, 'we let you play with the toy pretty soon but we gotta have you read the book first']",book,45.4937473048728,female,HSLLD
food, ,"('can you believe this teeny little bug eat all that food', 'Mother')","[0, 'can you believe this teeny little bug eat all that food']",bug,42.9536540791392,female,HSLLD
animal, ,"('then the bird fly off and all the little animal follow them Snow White come along too put her arm around the neck of a gentle mother deer', 'Mother')","[0, 'then the bird fly off and all the little animal follow them Snow White come along too put her arm around the neck of a gentle mother deer']",bird,47.6909176779811,female,HSLLD
animal, ,"('then the bird fly off and all the little animal follow them Snow White come along too put her arm around the neck of a gentle mother deer', 'Mother')","[0, 'then the bird fly off and all the little animal follow them Snow White come along too put her arm around the neck of a gentle mother deer']",deer,47.6909176779811,female,HSLLD
clothes, ,"('then she wash all the crumple little clothes and set a kettle of soup on the heat', 'Mother')","[0, 'then she wash all the crumple little clothes and set a kettle of soup on the heat']",soup,47.6909176779811,female,HSLLD
animal, ,"('the little bird and animal begin peck and paw at the queen but Snow White do not understand', 'Mother')","[0, 'the little bird and animal begin peck and paw at the queen but Snow White do not understand']",bird,47.6909176779811,female,HSLLD
animal, ,"('the frantic bird and animal hurry off to find the seven dwarf who be hard at work on the mine', 'Mother')","[0, 'the frantic bird and animal hurry off to find the seven dwarf who be hard at work on the mine']",bird,47.6909176779811,female,HSLLD
animal, ,"('the little man look up in surprise at the bird and animal crowd around them but first they do not understand then they realize that Snow White must be in danger', 'Mother')","[0, 'the little man look up in surprise at the bird and animal crowd around them but first they do not understand then they realize that Snow White must be in danger']",bird,47.6909176779811,female,HSLLD
food, ,"('and what do you do with the food remember Mama bring for the fish', 'Mother')","[0, 'and what do you do with the food remember Mama bring for the fish']",fish,45.9865705661307,female,HSLLD
food, ,"('and what do you do with the food remember Mama bring for the fish', 'Mother')","[0, 'and what do you do with the food remember Mama bring for the fish']",fish,45.9865705661307,female,HSLLD
food, ,"('yeah eat some of your food then you can have some more to drink', 'Mother')","[0, 'yeah eat some of your food then you can have some more to drink']",drink,43.9208197293579,female,HSLLD
clothes, ,"('we get food on the table clothes on your back somewhere to sleep', 'Mother')","[0, 'we get food on the table clothes on your back somewhere to sleep']",table,47.8223372143165,female,HSLLD
food, ,"('we get food on the table clothes on your back somewhere to sleep', 'Mother')","[0, 'we get food on the table clothes on your back somewhere to sleep']",table,47.8223372143165,female,HSLLD
food, ,"('and maybe if you sit at the table talk and eat your food and probable can have some ice cream afterwards', 'Grandmother')","[0, 'and maybe if you sit at the table talk and eat your food and probable can have some ice cream afterwards']",ice,43.8551099611902,female,HSLLD
food, ,"('and maybe if you sit at the table talk and eat your food and probable can have some ice cream afterwards', 'Grandmother')","[0, 'and maybe if you sit at the table talk and eat your food and probable can have some ice cream afterwards']",table,43.8551099611902,female,HSLLD
toy, ,"('no toy at our table', 'Father')","[0, 'no toy at our table']",table,45.4608924207889,female,HSLLD
toy, ,"('no toy at our table', 'Father')","[0, 'no toy at our table']",table,45.4608924207889,female,HSLLD
toy, ,"('I do want any toy at the table Munchkin', 'Father')","[0, 'I do want any toy at the table Munchkin']",table,45.4608924207889,female,HSLLD
toy, ,"('I do want any toy at the table Munchkin', 'Father')","[0, 'I do want any toy at the table Munchkin']",table,45.4608924207889,female,HSLLD
food, ,"('I think I have a can of cat food I buy for Brook and I have that present that I get him', 'Mother')","[0, 'I think I have a can of cat food I buy for Brook and I have that present that I get him']",cat,45.4608924207889,female,HSLLD
food, ,"('I think I have a can of cat food I buy for Brook and I have that present that I get him', 'Mother')","[0, 'I think I have a can of cat food I buy for Brook and I have that present that I get him']",present,45.4608924207889,female,HSLLD
food, ,"('no it cat food', 'Mother')","[0, 'no it cat food']",cat,45.4608924207889,female,HSLLD
food, ,"('okay we not gonna get a dog the dog eat dog food so we put the dog outside in the dog house right there', 'Grandmother')","[0, 'okay we not gonna get a dog the dog eat dog food so we put the dog outside in the dog house right there']",dog,43.8551099611902,female,HSLLD
food, ,"('I eat my cat food', 'Brother')","[0, 'I eat my cat food']",cat,43.1980122795129,female,HSLLD
food, ,"('why will you eat cat food man', 'Mother')","[0, 'why will you eat cat food man']",cat,43.1980122795129,female,HSLLD
food, ,"('he be eat no cat food', 'Mother')","[0, 'he be eat no cat food']",cat,43.1980122795129,female,HSLLD
food, ,"('I eat cat food', 'Brother')","[0, 'I eat cat food']",cat,43.1980122795129,female,HSLLD
food, ,"('I eat cat food', 'Brother')","[0, 'I eat cat food']",cat,43.1980122795129,female,HSLLD
food, ,"('I eat cat food', 'Brother')","[0, 'I eat cat food']",cat,43.1980122795129,female,HSLLD
food, ,"('I say you get to drink plenty of water eat your food take your vitamin', 'Mother')","[0, 'I say you get to drink plenty of water eat your food take your vitamin']",drink,45.920860797963,female,HSLLD
food, ,"('I say you get to drink plenty of water eat your food take your vitamin', 'Mother')","[0, 'I say you get to drink plenty of water eat your food take your vitamin']",water,45.920860797963,female,HSLLD
toy, ,"('we gonna stop now though and then I have a special present for you for play with my toy', 'Investigator')","[0, 'we gonna stop now though and then I have a special present for you for play with my toy']",present,43.657980656687,female,HSLLD
toy, ,"('I see my book and some toy and oh I see Sara', 'Mother')","[0, 'I see my book and some toy and oh I see Sara']",book,45.9865705661307,female,HSLLD
toy, ,"('no no Bro let your brother toy all the person out the bus and you have got_to to make sure you put them in there and when you put them in there there seat belt like you do', 'Mother')","[0, 'no no Bro let your brother toy all the person out the bus and you have got_to to make sure you put them in there and when you put them in there there seat belt like you do']",belt,45.4937473048728,female,HSLLD
toy, ,"('no no Bro let your brother toy all the person out the bus and you have got_to to make sure you put them in there and when you put them in there there seat belt like you do', 'Mother')","[0, 'no no Bro let your brother toy all the person out the bus and you have got_to to make sure you put them in there and when you put them in there there seat belt like you do']",bus,45.4937473048728,female,HSLLD
