food, ,"('okay that open the door and there food inside right', 'Investigator')","[0, 'okay that open the door and there food inside right']",door,27.5262325715107,male,Clark
furniture, ,"('that because you roll on the furniture on those little mommy and daddy bed you just roll over on a mommy and daddy bed', 'Investigator')","[0, 'that because you roll on the furniture on those little mommy and daddy bed you just roll over on a mommy and daddy bed']",bed,26.5262120372082,male,Clark
clothes, ,"('okay let go look for it you already have all your clothes on so we do have_to get dress right', 'Investigator')","[0, 'okay let go look for it you already have all your clothes on so we do have_to get dress right']",dress,29.9862420172899,male,Clark
clothes, ,"('yeah that another clown that a clown get dress see put on the clothes there she put on the shoe', 'Investigator')","[0, 'yeah that another clown that a clown get dress see put on the clothes there she put on the shoe']",dress,26.7561962257952,male,Clark
clothes, ,"('yeah that another clown that a clown get dress see put on the clothes there she put on the shoe', 'Investigator')","[0, 'yeah that another clown that a clown get dress see put on the clothes there she put on the shoe']",shoe,26.7561962257952,male,Clark
food, ,"('cat eat food', 'Investigator')","[0, 'cat eat food']",cat,29.0663052629417,male,Clark
clothes, ,"('now you can button it you do have any button on your clothes wanna see the dog', 'Investigator')","[0, 'now you can button it you do have any button on your clothes wanna see the dog']",dog,30.1977453335797,male,Clark
clothes, ,"('now you can button it you do have any button on your clothes wanna see the dog', 'Investigator')","[0, 'now you can button it you do have any button on your clothes wanna see the dog']",button,30.1977453335797,male,Clark
food, ,"('this deaf cat be eat the other cat food', 'Investigator')","[0, 'this deaf cat be eat the other cat food']",cat,29.9862420172899,male,Clark
clothes, ,"('this be another clothes see it just like this shirt', 'Investigator')","[0, 'this be another clothes see it just like this shirt']",shirt,30.1977453335797,male,Clark
animal, ,"('that why there all these jungle animal look at all these little kid in this bus they not sit down in their seat they all stand up do you know who this be', 'Investigator')","[0, 'that why there all these jungle animal look at all these little kid in this bus they not sit down in their seat they all stand up do you know who this be']",bus,27.69050699193,male,Clark
