animal,apple,and all the animal look at that little apple,Mother,26.00053,female,Rondal,,Animal book,about
animal,ball,look should I set all the animal up and you can roll the ball,Mother,26.03339,female,Providence,,Animal cookie,shape
animal,banana,what animal like banana,Mother,34.92063,female,Suppes,,Animal cracker,shape
animal,bed,should we put the animal to bed Lily,Camera_Operator,21.39469,female,Providence,,animal game,about
animal,bed,oh should the animal go to bed,Mother,21.39469,female,Providence,,animal puzzle,about
animal,bed,I could put my all my animal into my big girl bed,Target_Child,32.6249,female,Providence,,animal water?,
animal,bed,but bed do climb or see or eat or anything let start with a creature like a person or animal,Mother,31.0992,female,Providence,,bear food?,
animal,bed,when you go to sleep at night do you bring a stuff animal with you to bed,Mother,29.16487,female,Sachs,,bird food,for
animal,bed,and all the other animal you put in bed with him to make him feel good,Mother,29.0006,female,Valian,,cat food,for
animal,bed,that be nice of you to put the lion to bed with all those animal,Mother,29.0006,female,Valian,,cat toy,for/shape
animal,bed,straw they can make bed for the animal with the straw,Mother,30.00062,male,EllisWeismer,,clothes dryer,for
animal,bib,oh she have animal on her bib huh,Mother,27.00055,female,Ambrose,,clothes horse,
animal,bib,she have a animal bib on too,Mother,27.00055,female,Ambrose,,dog food,for
animal,block,well that a special kind of block they have for animal that perform,Mother,35.92066,male,Brown,,doll clothes,for
animal,block,you want to play with the block or with the or do you want to make animal,Mother,26.19766,female,Suppes,,fish food,for
animal,book,a baby animal book,Mother,14.19742,male,NewEngland,,horse food,for
animal,book,but you have a_lot_of other little book that have animal in them huh,Mother,14.13171,male,NewEngland,,kitty food,for
animal,book,oh a animal baby book,Mother,19.62463,male,NewEngland,,kitty toy,for/shape
animal,book,this be a book all about animal,Mother,19.62463,male,NewEngland,,mouse toy,shape
animal,book,this be your baby animal book,Mother,14.23027,male,NewEngland,,pig toy,shape
animal,book,this be your baby animal book remember,Mother,14.23027,male,NewEngland,,starfish toy,shape
animal,book,this be the book on baby animal,Mother,19.82176,male,NewEngland,,toy apple,shape (reverse)
animal,book,get the animal book,Mother,11.00023,female,Higginson,,toy bird,shape (reverse)
animal,book,that animal book,Target_Child,32.82203,female,Brown,,toy cow,shape (reverse)
animal,book,cute animal book,Mother,18.00037,female,McCune,,toy dog,shape (reverse)
animal,book,that Grover like in cute animal book,Mother,18.00037,female,McCune,,toy elephant,shape (reverse)
animal,book,book animal,Target_Child,32.52634,male,Providence,,toy fish,shape (reverse)
animal,book,my animal book,Target_Child,35.26356,male,Providence,,toy frog,shape (reverse)
animal,book,should we look at your animal book honey,Mother,14.066,female,Providence,,toy garage,shape (reverse)
animal,book,oh your animal book should mommy take a couple a book out,Mother,17.6903,female,Providence,,toy monkey,shape (reverse)
animal,book,should we look at your animal book honey,Mother,17.6903,female,Providence,,water animal,
animal,book,want read your animal kiss book,Mother,18.36177,female,Providence,,water toy,use with
animal,book,or we could look at your animal book too,Mother,13.5588,female,Providence,,,
animal,book,you want your little animal book,Mother,19.03325,female,Providence,,,
animal,book,your animal book,Mother,17.6903,female,Providence,,,
animal,book,she seem to be use to the card and the book now so I I will do those and then bring some of the animal,Camera_Operator,20.88749,female,Providence,,,
animal,book,okay let look at your animal book,Mother,19.62463,female,Providence,,,
animal,book,okay you want to look at your animal book,Mother,23.8547,female,Providence,,,
animal,book,sweetie be we go read your animal book,Mother,23.8547,female,Providence,,,
animal,book,oh_my_goodness look at your big animal book,Mother,26.88762,female,Providence,,,
animal,book,or we could look at your prehistoric animal book with the Brontotherium,Mother,34.26354,female,Providence,,,
animal,book,can you read the the animal book,Target_Child,34.26354,female,Providence,,,
animal,book,animal book,Target_Child,34.26354,female,Providence,,,
animal,book,maybe your prehistoric animal book,Mother,34.26354,female,Providence,,,
animal,book,wow the prehistoric animal in this book be just a few of the strange and interest creature that once roam the planet earth,Mother,34.26354,female,Providence,,,
animal,book,do you remember in your book your book on prehistoric animal what the name of the animal that look like a elephant but he real hair,Mother,33.75634,female,Providence,,,
animal,book,how about the new animal book,Mother,21.49325,female,Providence,,,
animal,book,and the animal in the book,Mother,22.88753,female,Providence,,,
animal,book,how about read your animal the I like winter book,Mother,24.13191,female,Providence,,,
animal,book,should we write the name of these animal in the book,Mother,27.78907,female,Providence,,,
animal,book,that call Jungle Animals I think there another farm animal book,Mother,25.32906,female,Providence,,,
animal,book,there a animal sticker book in that pink bag,Mother,29.55913,female,Providence,,,
animal,book,why do you grab that animal sticker book,Mother,29.55913,female,Providence,,,
animal,book,a fun book that Lucy it have animal in it,Target_Child,29.59198,female,Providence,,,
animal,book,animal book,Target_Child,20.72322,female,Providence,,,
animal,book,animal book,Mother,20.72322,female,Providence,,,
animal,book,you want look at the animal book instead,Mother,23.92041,female,Providence,,,
animal,book,oh the farm animal book,Father,14.32884,male,Feldman,,,
animal,book,read this book with all the animal in it,Mother,35.26356,female,Sachs,,,
animal,book,oh pretty aware we have some animal book,Mother,15.00031,female,Bernstein,,,
animal,book,so we have those animal and yeah and a turtle and a fish we have in book,Mother,15.00031,female,Bernstein,,,
animal,book,let see if we can find a animal like that in this book,Mother,27.42767,female,Valian,,,
animal,book,do you think one of the animal will like to have you read him a book,Mother,29.0006,female,Valian,,,
animal,book,that book but what animal,Mother,29.0006,female,Valian,,,
animal,book,oh there a there a zoo book animal here,Mother,26.19766,female,Suppes,,,
animal,book,where your book on animal,Mother,29.82197,female,Suppes,,,
animal,book,and he be just the first animal we see in this book,Mother,28.59196,NA,Feldman,,,
animal,book,oh so many animal in this book,Mother,22.00045,female,Ambrose,,,
animal,book,what do I do with the other animal book,Mother,18.00037,female,Ambrose,,,
animal,book,Firstname do you see your animal book,Mother,18.00037,female,Ambrose,,,
animal,bread,pretend her bread be always animal,Mother,23.78899,female,Braunwald,,,
animal,button,some some type of stuff animal something that have button and snap and all kind of thing that you can practice,Mother,35.46069,male,Providence,,,
animal,cake,well this be he feed cake to his little animal,Mother,35.19785,female,Providence,,,
animal,cake,you put animal on top of the cake,Mother,29.78911,female,Suppes,,,
animal,cake,put the animal on top of cake,Target_Child,29.78911,female,Suppes,,,
animal,cake,put the animal on top on the cake,Target_Child,29.78911,female,Suppes,,,
animal,cake,be there little animal on the cake yesterday,Mother,24.78901,female,Suppes,,,
animal,chair,I want you to sit a animal or a doll over on this chair and feed her everything,Mother,35.39498,female,Suppes,,,
animal,chair,I gonna so I can see the animal tool I could see them from the chair,Investigator,24.32904,male,Bloom70,,,
animal,chicken,I try to tell the difference between chicken the animal and chicken to eat,Mother,21.8218,female,Providence,,,
animal,chicken,Megan give her the chicken and her animal,Mother,23.65757,female,Post,,,
animal,chicken,but the main thing we get from farm animal be milk from a cow and egg from a chicken,Mother,34.69065,female,Suppes,,,
animal,chicken,all the animal look to the little chicken,Mother,26.00053,female,Rondal,,,
animal,coffee,do we have enough coffee for all the animal,Mother,22.36186,female,Sachs,,,
animal,coffee,coffee animal,Target_Child,22.36186,female,Sachs,,,
animal,coffee,give the animal some coffee honey,Mother,22.36186,female,Sachs,,,
animal,cookie,will you like some animal cookie,Mother,16.00033,male,Providence,,,
animal,cookie,these be animal cookie,Mother,24.39475,female,Providence,,,
animal,cookie,animal cookie,Mother,24.03335,female,Nicholas,,,
animal,cookie,animal cookie,Target_Child,32.00066,male,EllisWeismer,,,
animal,cookie,well these be actual animal cookie,Investigator,32.00066,male,EllisWeismer,,,
animal,cookie,more animal cookie,Target_Child,29.0006,male,EllisWeismer,,,
animal,corn,most corn be grow for animal feed but it also,Mother,31.92057,female,Providence,,,
animal,corn,animal eat corn a lot,Mother,31.92057,female,Providence,,,
